[FRONTEND_JS_ERROR] la_time=2026-05-18 10:06:12 AM PDT | ip=172.226.36.37 | session_id=0a8733d2b83a69161aebde86f341c383 | script=/log_frontend_error.php | file=Unknown File | line=0 | col=0 | stack=No stack trace available | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=Script error.
[FRONTEND_JS_ERROR] la_time=2026-05-18 10:15:01 AM PDT | ip=172.225.80.228 | session_id=36721bcf938713a113372f13c352e608 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=52 | stack=global code@https://fleeescape.com/assets/js/escape-room.js:26:52 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'document.querySelector(".Boo_Prison_Escape_select").addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 10:15:01 AM PDT | ip=172.225.80.228 | session_id=36721bcf938713a113372f13c352e608 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=16 | stack=global code@https://fleeescape.com/assets/js/custom-swiper-1.js:25:16 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'swiperContainer.addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 10:15:01 AM PDT | ip=172.225.80.228 | session_id=36721bcf938713a113372f13c352e608 | script=/log_frontend_error.php | file=https://fleeescape.com/birthday-party-escape-room-vr-party | line=776 | col=12 | stack=@https://fleeescape.com/birthday-party-escape-room-vr-party:776:12 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'toggleBtn.addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 10:15:05 AM PDT | ip=172.225.80.228 | session_id=36721bcf938713a113372f13c352e608 | script=/log_frontend_error.php | file=Unknown File | line=0 | col=0 | stack=No stack trace available | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=Script error.
[FRONTEND_JS_ERROR] la_time=2026-05-18 12:58:41 PM PDT | ip=185.18.146.238 | session_id=91026ad170f12a6ce39167e3bba86f55 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=52 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at https://fleeescape.com/assets/js/escape-room.js:26:52 | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 12:58:41 PM PDT | ip=185.18.146.238 | session_id=91026ad170f12a6ce39167e3bba86f55 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=17 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at https://fleeescape.com/assets/js/custom-swiper-1.js:25:17 | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 12:58:41 PM PDT | ip=185.18.146.238 | session_id=91026ad170f12a6ce39167e3bba86f55 | script=/log_frontend_error.php | file=https://fleeescape.com/corporate-team-building-escape-room-vr-party | line=776 | col=13 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at HTMLDocument.<anonymous> (https://fleeescape.com/corporate-team-building-escape-room-vr-party:776:13) | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 01:01:17 PM PDT | ip=50.123.108.192 | session_id=d12fa0f243e0f9cfc468db636ba658ae | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=52 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at https://fleeescape.com/assets/js/escape-room.js:26:52 | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 01:01:17 PM PDT | ip=50.123.108.192 | session_id=d12fa0f243e0f9cfc468db636ba658ae | script=/log_frontend_error.php | file=https://fleeescape.com/corporate-team-building-escape-room-vr-party | line=776 | col=13 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at HTMLDocument.<anonymous> (https://fleeescape.com/corporate-team-building-escape-room-vr-party:776:13) | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 01:01:17 PM PDT | ip=50.123.108.192 | session_id=d12fa0f243e0f9cfc468db636ba658ae | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=17 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at https://fleeescape.com/assets/js/custom-swiper-1.js:25:17 | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 01:01:20 PM PDT | ip=50.123.108.192 | session_id=d12fa0f243e0f9cfc468db636ba658ae | script=/log_frontend_error.php | file=Unknown File | line=0 | col=0 | stack=No stack trace available | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Script error.
[FRONTEND_JS_ERROR] la_time=2026-05-18 02:22:01 PM PDT | ip=38.65.24.195 | session_id=3d4a949ec90eec93d78f54110223e79d | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=10 | stack=@https://fleeescape.com/assets/js/escape-room.js:26:10  | url=https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=e28144c02e0e12527af52ecbafcd5541&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=escape%20room&utm_content=Escape%20Rooms | message=TypeError: document.querySelector(...) is null
[FRONTEND_JS_ERROR] la_time=2026-05-18 02:22:02 PM PDT | ip=38.65.24.195 | session_id=3d4a949ec90eec93d78f54110223e79d | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=1 | stack=@https://fleeescape.com/assets/js/custom-swiper-1.js:25:1  | url=https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=e28144c02e0e12527af52ecbafcd5541&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=escape%20room&utm_content=Escape%20Rooms | message=TypeError: swiperContainer is null
[FRONTEND_JS_ERROR] la_time=2026-05-18 02:22:02 PM PDT | ip=38.65.24.195 | session_id=3d4a949ec90eec93d78f54110223e79d | script=/log_frontend_error.php | file=https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=e28144c02e0e12527af52ecbafcd5541&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=escape%20room&utm_content=Escape%20Rooms | line=775 | col=3 | stack=@https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=e28144c02e0e12527af52ecbafcd5541&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=escape%20room&utm_content=Escape%20Rooms:775:3  | url=https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=e28144c02e0e12527af52ecbafcd5541&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=escape%20room&utm_content=Escape%20Rooms | message=TypeError: toggleBtn is null
[FRONTEND_JS_ERROR] la_time=2026-05-18 04:35:06 PM PDT | ip=172.226.36.73 | session_id=07a0f150de2e4115f249dadc58351915 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=52 | stack=global code@https://fleeescape.com/assets/js/escape-room.js:26:52 | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'document.querySelector(".Boo_Prison_Escape_select").addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 04:35:06 PM PDT | ip=172.226.36.73 | session_id=07a0f150de2e4115f249dadc58351915 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=16 | stack=global code@https://fleeescape.com/assets/js/custom-swiper-1.js:25:16 | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'swiperContainer.addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 04:35:06 PM PDT | ip=172.226.36.73 | session_id=07a0f150de2e4115f249dadc58351915 | script=/log_frontend_error.php | file=https://fleeescape.com/corporate-team-building-escape-room-vr-party | line=776 | col=12 | stack=@https://fleeescape.com/corporate-team-building-escape-room-vr-party:776:12 | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'toggleBtn.addEventListener')
